score,cleaned_content,sentiment_before,sentiment_after
3,update nih aplikasi ribet banget,netral,negatif
3,not good but not bad,netral,positif
5,update mulu ram ngelag,positif,negatif
1,baguss sih cuman bisa neg chat,negatif,positif
4,back roblox bab nya kali kali nang main game back,positif,negatif
3,tombol nya gede pojok,netral,negatif
5,akun udh gara gara update roblox,positif,negatif
5,seruh neg,positif,negatif
3,roblox asik mending main suka ngambil akun orang,netral,negatif
5,lah neg apgred,positif,negatif
4,rumayan sih game negatif ngelek ngebug disconek udah bagus kuota segitu aja sih tolong baik,positif,negatif
1,roblox seru neg paswor aja riset,negatif,positif
4,balikin chat,positif,negatif
1,tahi galapung,negatif,positif
4,render distance nya pendek banget udah buat max grafik aja ngga ngaruh,positif,negatif
3,roblox atur bisa neg chat plis kembali roblox chat udah hilang teman roblox,netral,negatif
3,bisa neg chat bisa neg ngapa ngapain bug cheater scirpter verfikasi update pls roblox kembali chat roblox ban cheater scipter pls pas neg main roblox langsung disconnect wifinya bagus pls baik,netral,negatif
5,bikin gabut hilang,positif,negatif
3,game nya bagus saran chat nya ganti kayak aja,netral,positif
3,game udah bagus game batas akses player nya kasih bintang,netral,positif
3,bnyk atur gajelas,netral,negatif
5,game ktnya ketat aman privasi awas ironis arah cheater hacker lolos sensor game nya wlpun udh hapus sengaja biar liar ganggu main murni suka lag kalo ngelag suka coba kalo ngelag ngelag aja keluar neg map paksa,positif,negatif
3,ngasih bintang minus nya kalo vitur chat balikin gww kasih bintang,netral,positif
3,bnyk update,netral,negatif
1,tolong kembaliin fitur cheat biar bosen neg,negatif,positif
4,gegara roblox bisa neg chat main turun roblox memprevikasi wajah dlu kasih bintang,positif,negatif
5,game seru jelek yangbprnah main,positif,negatif
1,seru banget,negatif,positif
1,bagus sieh farming both,negatif,positif
5,gue bagus engak jelek,positif,negatif
3,maaf update,netral,negatif
2,baik ngelag nya biar lancar karna stiap main patah malh diblg beban jga klo stiap update rblx error mohon rblx baik ya,negatif,positif
3,game nya bagus fitur chat nya ilang dan atur bikin seru apalh,netral,positif
3,sih login upgrade tuk download,netral,positif
4,bilang nih game ngelag banget asa kemarin ngelag neg cringe game brainrot tolong banyak neg game brainrot game roblox,positif,negatif
3,upgrade mulu anj pdhl upgrade gaa,netral,negatif
2,kasih bintang karna teman rugi karna habis beli robux masuk neg akun robuxnya,negatif,positif
3,bagus tolong kembali fitur chatn,netral,positif
1,rispek bos mantap,negatif,positif
4,banyak apdete jujur suka game banyak apdete bikin kesel dikit memory penuhh baik sistem nya kaya gin gua viralin nih game biar uninstall,positif,negatif
3,seru,netral,positif
1,roblox kalo update mbnya besar neg,negatif,positif
3,kalo main roblox uprege sih roblox uprege malas org kalo kek gitu,netral,positif
2,gwe enjoy aja soalny dpet temen sahabat,negatif,positif
3,sebenernya gpp bgt tpi pas update bintang tpi gara updatenya susah saranin klo update memo banyak neg,netral,positif
1,kadang kalo map ngelag disconnect ulang,negatif,positif
3,barang autentikasi roblok hapus sepenuh,netral,negatif
3,bagus dikit dah mboh,netral,positif
1,karna bisa neg pilih akun,negatif,positif
5,busuk,positif,negatif
3,game nya asik neg jdi mending izinn,netral,negatif
5,bilang game roblox buruk orang fomo tahu neg sistem nya benci roblox karna bug chat dll,positif,negatif
5,bisa neg ,positif,negatif
3,ada neg batas usia chat sepi ada neg,netral,negatif
3,bagus beranda nya ngak suka ada neg salah bug mesti jaring nya bagus neg isi kuota nge leg,netral,positif
5,roblox update,positif,negatif
3,game nya bagus seru tolong bug nya hilang main data bagus tulis koneksi putus bagus banget koneksi nya tolong aja,netral,positif
3,bagus sih ngelag neg kadang kadang burem dikit papa neg minus bisa neg chat voice chat sedih warga roblox mohon akun chat,netral,positif
3,oke mabar teman langsung ngelag tolong baik cepat,netral,positif
5,hei delevoter bisa neg main roblox tulis update roblox dukung neg android plis main kasih bintang nih,positif,negatif
2,good interesting and exciting but unfortunately this game very dependent the surrounding network itself because wifi and network are good but unfortunately there are still lots reconnections and errors signals that interfere with the game and ruin the desire play hate fix it,negatif,positif
5,pake batas usia,positif,negatif
3,many hacker the gam like good game but people got banned,netral,negatif
3,roblox versi kids plis neg,netral,positif
1,game nya bagus grafik nya bagus baju celana pake robux,negatif,positif
3,bagus bisa neg chat atur masuk neg akal,netral,positif
3,                             ,netral,positif
2,suka update nya,negatif,positif
5,balikin chat nya,positif,negatif
3,update udh hps aplikasi tetep ampun dah untung sabar kasih bintang untung kasih bintang,netral,positif
3,game bagus pilih game pilih karakter banget game bagus roblox salah,netral,positif
1,roblox nya suka ngebug,negatif,positif
5,gay game ini,positif,negatif
5,roblock batas batas baik akun akun,positif,negatif
4,tolong owner roblox nya benar main patah patah paket tolong,positif,negatif
1,bisah baik lagih robux neg jadih gimanah sih roblox kaloh bagus di neg ilang perogeres player kasihan lihat anek bisah neg main roblox lagih anek umur tapih bisah neg main roblox lagih tolong baik pls ,negatif,positif
2,gamenya udah bagus update cepat pas udah update update saran update nya lama,negatif,positif
5,banyak update game gue kasih bintang liat,positif,negatif
5,balikin korblox,positif,negatif
3,bintang chat,netral,negatif
4,asik sih cuman benci ping nya pas jelek,positif,negatif
3,game nya suka ngebak,netral,positif
1,ange,negatif,positif
4,balikin lu neg fitur chat karna neg bocil ngatur emg,positif,negatif
3,kasih robux gitu gpp banyakin barang free,netral,positif
5,suka pas masuk login gabisa lag wifi lancar login stuck gabisa mencet,positif,negatif
3,cherter ban lag error jaring bagus hecker sengaja,netral,negatif
5,play store ngebug simpan downlod nya butuh tapiiiii bisa neg download,positif,negatif
3,bagus sih bisa neg chat woi gua ken main ama temen gua kayak please roblox kembaliin chat harus neg verification,netral,positif
3,bagus alas player geluh jelas neg buka chat rating bintang,netral,negatif
1,seru main branrot ngelek kalo tower ngelek neg,negatif,positif
5,roblox doesn make sad because used get hit and kicked mom but now family doesn care anymore,positif,negatif
4,ngeleg mulu,positif,negatif
3,knpa gabisa join tmen server privat sailor piece sea udh izin masuk,netral,negatif
3,sering update makan ruang bangeett sampe hapus app game doanh,netral,positif
1,game seru map dalam upgrade nya tuh susah banget,negatif,positif
3,roblox batas gamenya sih kaya horor nya game santai tempat,netral,positif
1,sruu,negatif,positif
4,lag knp ganti postur wajah,positif,negatif
1,roblox pls banned scriptt,negatif,positif
1,robax top,negatif,positif
4,apasih gua cmn setel musik lagu aja mute next update bang pliss biar stel musik lagu gua orang pernah neg toxic cmn setel musik lagu doang banned pliss yaaa tlong,positif,negatif
5,game favorite sengaja neg bikin asli,positif,negatif
5,gimana bisa neg chat roblox,positif,negatif
3,update sampah,netral,negatif
3,game nya seru mabar teman pilih map bintang nya rangin karna big suka eror jaring lancar tolong betul bisa neg update karna ram ,netral,positif
5,udah seru neg pas update usia udah bisa neg komunikasi chat,positif,negatif
3,gamenya udh bagus buat bodoh karns bugnya chatnya kurung cheater,netral,positif
1,banyak apdet,negatif,positif
3,upgret           ,netral,positif
1,roblox nya mainin rating nya ,negatif,positif
3,wow soo good wait david pls don delete fitur chat and makeup soo makeup bleh,netral,positif
3,coba robux dikatain neg noob main kalo pake wifi ngeleg bagus sih bagus cuman neleg band ada neg robux tolong milik roblox kasih robux plis,netral,positif
1,game bagus neg anak anak bawah konten sex,negatif,positif
3,update sihh ngeselin banget banyak update gem berapa neg update nya terus benci,netral,negatif
3,bagus game asik lho suruh upgrade mulu apasih suka neg kali jeda dikit upgrade gitu trus kalo di neg upgrade skrg bisa neg main hadeh poke,netral,positif
2,bagus sih sebener nya pas beli barang pake robux minggu kena hapus temen beli aitem pake robux engga hilang mohon perbaikin itu yaa dar saran gimana roblox sensor ngomong kasar loh trs bagus batas umr orang pake delta rusuh,negatif,positif
2,seru sih tpi error mulu,negatif,positif
1,kasih pet gratis kaya kitsune racoon gitu tokenz gerat pokok bintang,negatif,positif
5,malas,positif,negatif
3,kasih bintang chatnya bisa neg tolong buka chatnya ada neg ngomong kasar kalo chatnya udah buka kasi bintang,netral,negatif
4,download bawah umur masuk roblox kids,positif,negatif
5,kembali sistem chat,positif,negatif
5,wheres the chat,positif,negatif
2,kangen roblox,negatif,positif
3,becus neg njir kemarin disuru upd dah upd suruh upd upd cepet bet dah kalo game disconnect jaring bagus cheater org sus pke chat roblox gitu udh dibatesin tetep aja org mas liat chat sus sus brokhaven aja bilang kotor apa roblox mas aja ngelindungin neg,netral,negatif
3,game update suruh update,netral,negatif
4,upgrade mulu jir,positif,negatif
3,enak pakai,netral,positif
5,game asu,positif,negatif
3,asik sih banget suruh upgrade terusss,netral,positif
3,atur anjir,netral,negatif
3,gasuka atur baru gabisa ngobrol muda tua kayak,netral,negatif
3,kasih bintang karna gabisa gabisa chat klasik face ganti mekap,netral,negatif
3,dunno not that lagging but lag,netral,negatif
2,halo roblox game nya lumayan seru ngga seru nya hapus item robux nya ngga minimal kalo hapus item hapus avatar minimal robux nya balikin,negatif,positif
3,hay roblox sudh main roblox tpi buka roblox tidk sudh top robux bnyk pake akun guest gimana roblox jdi hapus terima kasih,netral,positif
3,grafik nya bagus neg,netral,positif
2,main seru rangin update nya cok habis paket update kalok update blh kali tahun udh update,negatif,positif
3,game nya update bagus bagus bgt muas,netral,positif
1,bagus minus nya bisa neg chat,negatif,positif
3,roblox gin kasi tau org beli body dls robux beli pke uang mikirrr uang daun neg klo hapus item kembaliin robuxnya rasa neg rugi trs roblox pas jaring bagus mlh ngelag roblox seru sih seru knp jdi gin batas chat jga,netral,negatif
3,game nya seru kalo upgrade bisa neg loh cikk,netral,positif
3,main nya seru kalo update rugi orang,netral,positif
2,pls developer chat roblox pls gsbisa chat teman sejati,negatif,positif
3,seru pass bikin akun tunggu days akun new udah minggu minggu aneh males main akun kepake,netral,negatif
5,lag sikit,positif,negatif
2,fun but the age checks and the bad updates stars roblox bad now but still fun feel like david drunk,negatif,positif
2,game bagus atur,negatif,positif
3,chat nyan gapain dibatasin mlhan jdi seru neg,netral,negatif
1,main baguss tower nya lucu lucu mksh roblox,negatif,positif
3,gamenya bagus kadang tombol loncat nya tepencet neg tolong baik,netral,positif
5,game jelek,positif,negatif
3,update lama mana pas update bisa neg update mohom roblox upd neg penuh lama hp,netral,negatif
5,even though the updates are annoying will still play roblox,positif,negatif
3,gem nya bagus eng updet,netral,positif
3,suka game beli robax aktif chat bisa neg masuk pasuk nya menggaktifkan nya layar putih seluruh bisa neg aktif saya sesal verifikasi tau neg bug bikin akun moga baik sesal neg sepenuh  cepat baik terimakasih,netral,positif
5,capek kali lha upgrade teman upgrade hadehhh roblox dha,positif,negatif
1,updatenya gaada bagus bagus,negatif,positif
5,chat back,positif,negatif
4,males bgt update gmn punya neg memo memo abis,positif,negatif
3,balikin chat clasik face,netral,negatif
5,peliss ada neg update nya males donlot donlot,positif,negatif
3,apk nya bagus cuman lag patah patah sayabg roblox ofline rame,netral,positif
2,asik cuman update nya bikin gbisa mbr tmn lagi,negatif,positif
5,banyak neg update nya,positif,negatif
3,seru neg lagi,netral,negatif
1,geme nya bagus,negatif,positif
3,balikin chat lu neg david bazuuki,netral,negatif
3,aja sih turut,netral,positif
1,gamenya bagus mohon hapus avatar bacon benar sistem umur,negatif,positif
3,chat nya dibatasin ngapa dah,netral,negatif
2,game nya bagus ferivikasi susah banget kalo main,negatif,positif
3,jlk bgt hokcuh bagus semenjak batas fitur chat udh males bgt main game,netral,negatif
5,bisa neg main rblx blokir,positif,negatif
3,malas geme nya update aneh kalo update nya aneh neg kasi bintang,netral,negatif
1,ajar,negatif,positif
3,seringkali updrade,netral,positif
5,roblox aneh pas uprdage bisa neg huh bisa neg orblox,positif,negatif
3,gamenya bagus seru sayang kalo main neg hari langsung suruh update,netral,positif
4,bisa neg ngecat parah banget,positif,negatif
4,bisa neg update game,positif,negatif
3,gamenya bagus kadang kadang bug kaya wifi aman diskonek,netral,positif
5,pls perintah anak nasiss hadeh tulis perintah anak nang gara gara bisa neg main robloxlagi kenceng nang tau,positif,negatif
3,seru sih aja,netral,positif
3,update mulu asa,netral,negatif
3,bagus bagus aja wifi bagus atur gajelas tolong kasih baik updatenya tolong,netral,positif
3,mayan cuman chatnya doan batasin,netral,negatif
1,seru tolong hilang bug sus tolong kalo sus tolong kosneckan,negatif,positif
2,jaring udh penuh udh bagus tpi tetep gbs main,negatif,positif
3,ngelag,netral,negatif
3,kasih karna game seru tolong baik map bug nya map neg banyakin bug di neg baik,netral,positif
3,update elek,netral,negatif
3,pacar updatenya jelek fiturnya aja chat hapus sih neg normalin aja,netral,negatif
1,game nya bagus suan kasi bintang,negatif,positif
3,ngelak sinyal bangus,netral,negatif
3,gamenya bagus sih masalah dimainin neg langsung suruh bikin akun roblox tolong gua main santai doang loh temen gua tolong baik lupa neg kalo bintang,netral,positif
1,game nya bagus tahu neg sinyal bagus main roblox ngelag,negatif,positif
5,pebble has his thinking cap,positif,negatif
3,moga update roblox parah neg,netral,positif
5,game bagus jaring lancar kek delay gitu mohon cepet dibenerin game ribet banget pake ktp untung aja ktp cadang,positif,negatif
1,map bagus cuman kurang update nya kali,negatif,positif
5,game gaje gbs chatan,positif,negatif
3,bagus sih bagus sinyal aman aman,netral,positif
5,orang bodoh,positif,negatif
4,roblox eror mulu ,positif,negatif
3,disconnected jaring bagus,netral,negatif
3,please min hilang neg item body avatar ilang please hapus neg sembarang orang top robux beli avatar dibilangin gin mah rugi orang please asal neg hapus gitu etdah,netral,negatif
3,oke game layan rada lelet,netral,positif
3,update ngotak neg jelas neg,netral,negatif
3,ngawur,netral,positif
3,gamenya lumayan bagus mohon updatenya bnr loh awas,netral,positif
3,gamenya bagus knp klw update ampun,netral,positif
3,bagus manfaat nya tolong hapus verifikasi wajah balik incomu,netral,positif
3,overall bagus tolong balikin vitur chat kayak,netral,positif
4,paksa kasih bintang doang roblox game bagus banget plis deh kasih atur atur gajelas chat dibatasin muncul bentuk avatar sus game game sus hacker hacker banned game game kayak gin jadi neg plis hilang hafsu uang lah,positif,negatif
3,game nya seru tpi msh bnyk bug kyk gerak hilang bug shiftlock game mlh paksa masuk lgi bnyk tolong bug fix dlu terima kasih,netral,positif
3,gemnya bagus mabar,netral,positif
3,verifikasi susah rumah verifikasi nay tolak,netral,negatif
2,baru,negatif,positif
4,dikit bug main game prak tyoocon loncat habis masuk pas loncat bisa neg tolong baik,positif,negatif
2,bagus aja sih nya kadang kadang update,negatif,positif
3,mohon akun temen nya hilang cari temen jujur iya umur mohon capek cari temen capek cari suka neg update nya roblox andai kaya neg gin seru kebelet zepeto,netral,negatif
3,bagus sih game nya updatenya jelek,netral,positif
3,lumayan,netral,positif
4,aneh bisa neg login terang salah koneksi buka game nonton streaming lancar apk aja bisa neg login,positif,negatif
4,fitur chat roblox hapus,positif,negatif
3,suka aplikasi nya update bug gabisa chat ktp kalo chat,netral,positif
5,roblox jelek,positif,negatif
3,bagus cuman tolong chat terlalu neg batesin,netral,positif
1,geme gerat cio robllpx,negatif,positif
3,sih bikin shirt bayarr gratisin donggg,netral,negatif
5,sih neg gausah update cukuppp neg,positif,negatif
3,player suka neg update verifikasi age,netral,negatif
3,update roblox berat developer neg kurang data sebab lag panas kasi guna main roblox hpnya support main game harap update kurang data berat neg berat terimakasih,netral,negatif
3,banyak update pliss,netral,negatif
3,suka neg game nya,netral,positif
3,aplikasi nya sangat bagus cuman salah bisa neg ganti nulis umur tiba pas buka aplikasi roblox muncul tulis update udah update loh tolong baik yah k,netral,positif
3,roblox,netral,positif
5,roblox very exciting but beg you fix because why can chat know this isn david bacuki fault but beg you fix this because really not exciting,positif,negatif
3,chatnya buka,netral,negatif
3,benar nya seru bagus aman update nya penuh karna roblox,netral,positif
4,roblox udah bagus bikin atur jgn aneh aneh bnyak player mls main game semenjak update mna robux top robux masuk plis perbaikin roblox,positif,negatif
3,bru berpa langsung apdute cpek,netral,positif
5,woy roblox gimana sih gua kena virus candu main roblox ampe emak gua ikut main roblox,positif,negatif
3,bisa neg pakai audio,netral,negatif
1,aplikasi ngga bgt,negatif,positif
5,hati hati tubers ngadain hack akun org hati hati peringatin ganti,positif,negatif
5,aman yaman utuk main serperti mula,positif,negatif
3,really want join why did account expire don want that happen please return account,netral,negatif
1,bagus gada kebas gitu,negatif,positif
3,aja kena batasin,netral,negatif
1,udh bagus bug lag,negatif,positif
5,kesini update roblox nya chat,positif,negatif
5,honestly quite like this game but why are there cheaters and others think quite annoying because they like play pranks maybe can fixed once again like this game thank,positif,negatif
3,roblox updatenya lama jelas neg udah bisa neg chat verifikasi umur wajah emang apasih bagus kagak bikin kesel iya orang bilang kata aja banned  sih neg update chat kembaliin sousah tau chat plyer nya rame gara chat ada neg kek sepi main pas update pas main pernah neg pas update kelur sendi terus,netral,negatif
3,tolong banget roblox akun hilang jejak password udah bisa neg buka nama akun kentutkucing mohon hapus ava zepeto sangat buka sekian terima kasih,netral,negatif
4,sering update anjir minimal tahun minggu udh suruh update ngertiin bang deve ram,positif,negatif
3,roblox tolong kembali roblox,netral,positif
5,seru seru neg,positif,negatif
5,game nya bisa neg chat teman,positif,negatif
3,stop update jelas neg menuhin simpan please don keep updating the features just the same nothing changes just takes storage space,netral,negatif
3,game nya pake cheat delta mohon baik,netral,negatif
1,game nya bagus atur suka neg roblox kayak neg,negatif,positif
1,game bagus teman teman,negatif,positif
3,aplikasi bagus verivikasi chat roblox sepi hidup hilang verivikasi chat ganti anak anak umur batas,netral,negatif
1,hmm lumayan bug data pas cepat hilang ribet update terus nya update nya cepat,negatif,positif
3,game nya bagus tulis kek gin roblox kadar luarsa udah akun aja tulis sampe upgrade kali kali bisa neg gimana yaaa ,netral,positif
3,like this game but please fix okay using but always disconnects saying there signal even though the fine,netral,positif
2,lumayan,negatif,positif
3,game nya seru suka banget roblox roblox seru asik banget bgt pake delta suka trs boleh neg main roblox karna pake delta takut rusak,netral,positif
4,ngelag pas main tower,positif,negatif
3,game emg seru bgt cuman knp perlahan perlahan hancur update update nya bagus neg contoh chat dibatasin skrg classic face hilangin emg sengaja gimana game nya hancur gara gara update skrg,netral,negatif
3,game roblox sih enak tapiiii update nya aneh sih klasik face hapus ganti fitur mekap fitur chat verivikasi ken klasik face kembali usah neg verivikasiii,netral,negatif
3,nya seru cuman bacon banyak cheater dll nge rusuhh pake cheat delta band hilangin aja akun,netral,positif
3,kali main roblox kek main seru bagi bisa neg ngobrol teman orang kenal tolong fitur chat nya hidup,netral,positif
1,  ,negatif,positif
5,bisa neg tidur,positif,negatif
4,reting klo da neg sinyal dikit aja ngelek nya kaya tikus kecepit pintu tolong roblox nya napa,positif,negatif
1,gamenya suka,negatif,positif
3,eum game nya udah bagus semenjak chat roblox batas bisa neg interaksi teman orang yah kasih bintang karna game nya seru semenjak batas,netral,positif
5,tolong baik guna keyboard guna mobilador karna cursor nya seperti neg laptop bug cursor tetap neg gerak layar cursor nya ujung layar,positif,negatif
1,mohon main handphone grapiknya kurang biar mudah neg ngelag,negatif,positif
3,make deting friend have too many inactive friend deting them would take forever,netral,negatif
3,roblox hapus delta script pake delta script main curang main murder misteri pas sheriff lempar server ngeselin bgt tolong roblox delta script dihapuss bgt,netral,negatif
5,bisa neg mengrim pesan tolong bisa neg,positif,negatif
2,update lumayan suka nya map batas nya main map nya main bisa pindah gem main roblox bos,negatif,positif
3,tambah fitur,netral,positif
3,geme seru mon maaf chat yan balikin yan susah,netral,positif
3,roblox hilang data data nya jaring ngeleg masalah neg jaring karna coba pakai data wifi main gem aman aman ada neg nama nya ngelag baik gem,netral,negatif
3,seru atur jelas neg item hapus,netral,negatif
2,game nya bgs cmn barang nya mahal nya face mhl bgt rangin gitu lgi,negatif,positif
1,seru,negatif,positif
3,gem nglek banget,netral,negatif
3,bikin suka neg downloadnya banget,netral,positif
3,apa hapus classic face apa gasuka dynamic face,netral,negatif
3,reting makasih kasih robux,netral,positif
3,bikin bagus update nya kayak sampah maaf kembali item roblox hapus kembali chat nya,netral,negatif
1,gamenya bagus suruh update main loh upgrade memoryku jdi penuh gara gara game pas main night innthe forest sih bisa neg chat,negatif,positif
3,koneksi udah bagus aja bisa neg login,netral,positif
3,gasuka update nya gaseru tambah banyakin memori boros kuota,netral,negatif
5,bosen main dawnnnn,positif,negatif
3,bikin jengkel ngeleg mulu,netral,negatif
1,gamenya bagus bug pas main game,negatif,positif
3,gamenya anja seru banget map main upgrade revamp apa chat gabisa anak bawah thn gabisa chat kasih bintang duluu karna gabisa komunikasi teman main teman virtual susah komunikasi sekian timaacii,netral,negatif
3,tolong baik bug gangu bangetbaru masuk suka,netral,negatif
3,bisa neg komen main cheat,netral,negatif
3,banyak atur contoh kayak verifikasi usia chat mic sebenernya sih cuman verifikasi game tuh aja gimana masuk kategori usia alam virtual batas trus suka update pas memori penuh gara gara updatenya roblox,netral,negatif
3,gua kasih bintang kalo ubah fix,netral,positif
1,game nge lage gua udah bagus banget,negatif,positif
5,woylah gue jarang maen suru apdet mulu jir,positif,negatif
5,game seru klasik face nya hapus tolong kembali klasik face,positif,negatif
4,tolong kembali fitur chat nya,positif,negatif
5,game gajelas jir slop sub game underground game better than this slop manlet made game,positif,negatif
2,mayan bagus,negatif,positif
1, ,negatif,positif
3,update masuk nya bug,netral,negatif
4,main enak main terlalu neg bagus sulit main game santai zaman orang main milik neg hormat harga musuh ingin neg main main anak anak takut rusak mental anak awas neg orang percaya,positif,negatif
2,bagus sih kalo main incorails napi umur umur gimana,negatif,positif
4,bgus tpi kadang error kalo tiba jdi emosi,positif,negatif
5,roblox tolong beli item pakai robux hilang item tolong baik woy item aing hilang woy roblox creatornya narik item marketplace aing kompensasi adil neg,positif,negatif
4,roblox ketat banget,positif,negatif
3,roblox gaada chatnya,netral,negatif
5,atur roblox emg ketat cocok ank ank tolong pindah roblox kids trima kasih,positif,negatif
3,lag main fidt,netral,negatif
1,enak neg enak,negatif,positif
3,main koneksi putus suruh periksa jaring koneksi jaring bagus,netral,negatif
5,exciting like but why roblox slow responding reports about other players,positif,negatif
3,mod free,netral,positif
3,seru hacker songong sombong lapor cheater roblox merespon nya segitu roblox blokir player pakai cheat,netral,positif
5,game seru neg bug mulu gerak geserkamera geser nya maju mundur maju mundur di neg baik seru main,positif,negatif
1,ada neg bokep seru neg,negatif,positif
5,main roblox ngelek muluk sih kesel gimana biar ngelek neg ,positif,negatif
1,gamenya bagus sih bayar kalo bikin shirt kikir asa gratis bosan main,negatif,positif
5,plis chat back plissssssssssssssssss,positif,negatif
3,sesuai bilang buruk game kalo rejoin kali kali menit lag bisa neg join disconnected device wifi udah bagus,netral,negatif
1,bisa neg download game tolong min,negatif,positif
3,roblox hapus fitur chay pliess fitur chat,netral,negatif
5,ich finde das spiel sehr gut,positif,negatif
3,roblox seru nge neg lag,netral,positif
3,main lag patah patah moga lagi neg,netral,negatif
3,roblox lag lag iya pla donte,netral,negatif
3,suka fitur tambah main game asli mahal pol tambah pake remot gak,netral,positif
3,sebenernya game nya seru cuman salah fitur bikin game jelek fitur chat,netral,negatif
3,suka gem rena gem nya tarik blox fruts grow garden bintang rena akun bend,netral,positif
2,gamenya bagus favorit kurang roblok bisa neg berantas pdf,negatif,positif
3,seru banget game online bikin neg seru chat nya batasin seru neg chatan umur neg gitu,netral,positif
3,its suck when internet looks good when playing because the character runs smoothly without any obstacles but turns out the network bad and suddenly dies while playing hardcore mode with one live least show ping player know the network bad swry,netral,negatif
3,bagus sih kadang kadang suka ngelek tolong baik,netral,positif
3,roblox emang keren pakai robux,netral,positif
4,aga jelek,positif,negatif
1,game map tulis internet udah pakai bagus internetnya,negatif,positif
3,seru susah jalan keluar,netral,positif
3,game seru bgtt dapet bnyk alam game,netral,positif
3,tolong roblox kembali chat ban avatar jelas neg kayak avatar furry avatar femboy,netral,negatif
1,bagus sih jangn kasih hilang fitur chat rugi orang,negatif,positif
3,udah masuk password tetep bisa neg kasih bintang aja,netral,negatif
1,seru neg jagan dimainin boros kuota,negatif,positif
1,game singkat aja kaya gitu sih,negatif,positif
3,bagus aih chat kayak,netral,positif
3,update suka neg fitur makeupnya penting neg,netral,negatif
3,beli robux pls gkvbisa tolak,netral,negatif
5,login bisa neg masuk muncul salah koneksi pliss udah update,positif,negatif
4,aja wajah klasik hapus nya make fiturnchat neg nya usah neg verifikasi teman udah pindah sekolah bisa neg chat chat tan,positif,negatif
3,game nya udah bagus update nya bikin orang orang resah nilai gin karna suka update nya,netral,positif
3,seru upgrade boros kota nya pliss upgrade neg gimana kalo kota nya upgrade roblox langsung habis,netral,positif
3,seru bug nya loh sebenernya seru game nya lag aja makasih roblox,netral,positif
3,apdetnya buruk tolong fitur bagus,netral,positif
5,tahu neg main gamenya neg buruk,positif,negatif
2,gamenya dah bagus afk bentar disconenct,negatif,positif
2,bagus main temen karna pisahin roblox gra gra ubdet main ama temen mending bubarin aja roblox,negatif,positif
4,chat kayak,positif,negatif
